menu_path	action	href
Reports & Statistics > Bonus > Resolved Bonus Details Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/resolvedBonusDetails/layout
Reports & Statistics > Bonus > Bonus Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/bonusReport/layout
Reports & Statistics > Bonus > Bonus Statistics Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/bonusStatistics/layout
Reports & Statistics > Bonus > Bonus Search	navigate	https://api.casino-manager.discreetgaming.com/api/reports/bonusSearch/layout
Reports & Statistics > Bonus > Player Bonus Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/playerBonus/layout
Reports & Statistics > Bonus > Bonus Games Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/bonusGames/layout
Reports & Statistics > Bonus > Mass Bonus Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/massBonusReport/layout
Reports & Statistics > Bonus > Mass Bonus Award From CSV	dialog	https://api.casino-manager.discreetgaming.com/api/action/awardMassBonusFromFile
Reports & Statistics > Free Rounds Bonus > Mass FR Bonus Awards in Progress	navigate	https://api.casino-manager.discreetgaming.com/api/reports/delayedMassFrbonus/layout
Reports & Statistics > Free Rounds Bonus > Active FR Bonuses Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/activeFrBonusesReport/layout
Reports & Statistics > Free Rounds Bonus > FR Bonus Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/frbonusReport/layout
Reports & Statistics > Free Rounds Bonus > Player FRBonus Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/playerFrbonus/layout
Reports & Statistics > Free Rounds Bonus > FR Bonus Search	navigate	https://api.casino-manager.discreetgaming.com/api/reports/frbonusSearch/layout
Reports & Statistics > Free Rounds Bonus > Mass Free Round Bonus Award From CSV	dialog	https://api.casino-manager.discreetgaming.com/api/action/awardMassFrbFromFile
Reports & Statistics > Free Rounds Bonus > Mass Free Round Bonus Award for New Players	dialog	https://api.casino-manager.discreetgaming.com/api/action/awardMassFrbForNewPlayers
Reports & Statistics > Free Rounds Bonus > Mass FR Bonus Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/massFrbonus/layout
Reports & Statistics > Player > Logon Record	navigate	https://api.casino-manager.discreetgaming.com/api/reports/logonRecord/layout
Reports & Statistics > Player > Player Game Info	navigate	https://api.casino-manager.discreetgaming.com/api/reports/playerGameInfo/layout
Reports & Statistics > Player > Player by Game Performance Summary	navigate	https://api.casino-manager.discreetgaming.com/api/reports/playerByGamePerformance/layout
Reports & Statistics > Player > Player Activity Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/playerActivityReport/layout
Reports & Statistics > Player > First Bettors Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/firstBettors/layout
Reports & Statistics > Player > Per Player Summary Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/perPlayerSummary/layout
Reports & Statistics > Promotion > Promo Games Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/promoGamesReport/layout
Reports & Statistics > Promotion > Take the Prize List	navigate	https://api.casino-manager.discreetgaming.com/api/reports/takeThePrizeList/layout
Reports & Statistics > Promotion > Drive Tournament List	navigate	https://api.casino-manager.discreetgaming.com/api/reports/driveTournamentList/layout
Reports & Statistics > Promotion > Promotion Monitoring Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/promotionMonitoring/layout
Reports & Statistics > Promotion > Client Autopayouts	navigate	https://api.casino-manager.discreetgaming.com/api/reports/clientAutopayouts/layout
Reports & Statistics > Summarized Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/summarized/layout
Reports & Statistics > Casino Performance Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/casinoPerformanceReport/layout
Reports & Statistics > Performance by Currency	navigate	https://api.casino-manager.discreetgaming.com/api/reports/performanceByCurrency/layout
Reports & Statistics > Universal Jackpot > Universal Jackpot Summary Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/unjSummary/layout
Reports & Statistics > SubCasino Statistics	navigate	https://api.casino-manager.discreetgaming.com/api/reports/subcasinoStatistics/layout
Reports & Statistics > SubCasino Statistics Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/subcasinoStatisticsReport/layout
Reports & Statistics > Combined Jackpot3 Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/combinedJackpot3/layout
Reports & Statistics > Analytics > KPI Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/kpiReport/layout
Reports & Statistics > Analytics > KPI Comparison Report	navigate	https://api.casino-manager.discreetgaming.com/api/reports/kpiComparisonReport/layout
Reports & Statistics > Analytics > New Games Performance	navigate	https://api.casino-manager.discreetgaming.com/api/reports/newGamesPerformance/layout
Reports & Statistics > Analytics > Game Client Metrics	navigate	https://api.casino-manager.discreetgaming.com/api/reports/gameClientMetrics/layout
